task_id,asset_id,block_id,section_id,corridor_id,corridor_name,date,window_start,window_end,task_type,department,crew_type,priority,required_duration_min,duration,overdue_days,safety_critical,is_joint_possession,coordination_status,bundled_with,downtime_saved_min,freight_density,power_isolation_required,restrictions,planning_status,approval_status,approved_by,solver
TASK013,ASSET013,BLK_HWH-NJP_0102_183,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-02,2026-01-02 23:00,2026-01-02 04:00,Interlocking equipment inspection,SMT,S&T Relay Gang,P1,240,240,14,True,False,INDEPENDENT,None (Single Task),0,Low,Yes,Block suspended - VIP movement,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK014,ASSET014,BLK_HWH-NJP_0105_186,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-05,2026-01-05 23:00,2026-01-05 04:00,Radio communication maintenance,SMT,S&T Relay Gang,P3,240,240,5,False,False,INDEPENDENT,None (Single Task),0,Low,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK015,ASSET015,BLK_HWH-NJP_0107_188,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-07,2026-01-07 23:00,2026-01-07 04:00,Culvert cleaning and inspection,ENGINEERING,Track Relaying Train (TRT),P3,240,240,5,False,False,INDEPENDENT,None (Single Task),0,Low,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK016,ASSET016,BLK_HWH-NJP_0104_185,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-04,2026-01-04 23:00,2026-01-04 05:00,Switch heater inspection,TRD,Tower Wagon Gang,P3,180,180,5,False,False,INDEPENDENT,None (Single Task),0,Low,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK017,ASSET017,BLK_HWH-NJP_0106_187,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-06,2026-01-06 23:00,2026-01-06 04:00,Sleeper replacement,ENGINEERING,Track Relaying Train (TRT),P2,240,240,5,False,False,INDEPENDENT,None (Single Task),0,Low,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK018,ASSET018,BLK_HWH-NJP_0101_182,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-01,2026-01-01 23:00,2026-01-01 04:00,Track circuit troubleshooting,SMT,S&T Relay Gang,P1,240,240,14,True,False,INDEPENDENT,None (Single Task),0,Low,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK019,ASSET019,BLK_NJP-GHY_0103_191,NJP-GHY,NJP-GHY,NJP-GHY,2026-01-03,2026-01-03 23:00,2026-01-03 05:00,OHE contact-wire inspection,TRD,Tower Wagon Gang,P2,240,240,5,False,False,INDEPENDENT,None (Single Task),0,Low,Yes,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
TASK020,ASSET020,BLK_NJP-GHY_0105_193,NJP-GHY,NJP-GHY,NJP-GHY,2026-01-05,2026-01-05 23:00,2026-01-05 04:00,Ballast renewal,ENGINEERING,Track Relaying Train (TRT),P3,240,240,5,False,False,INDEPENDENT,None (Single Task),0,Low,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000002_TASK52169,AST_BZA-_2169,BLK_BZA-SC_0105_207,BZA-SC,BZA-SC,BZA-SC,2026-01-05,2026-01-05 23:00,2026-01-05 03:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,237,237,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000003_TASK56570,AST_DLI-_6570,BLK_DLI-JU_0104_164,DLI-JU,DLI-JU,DLI-JU,2026-01-04,2026-01-04 23:00,2026-01-04 05:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,227,227,8,True,False,INDEPENDENT,None (Single Task),0,Low,Yes,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000007_TASK22250,AST_PUNE_2250,BLK_PUNE-CSMT_0101_112,PUNE-CSMT,PUNE-CSMT,PUNE-CSMT,2026-01-01,2026-01-01 23:00,2026-01-01 03:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,112,112,8,True,False,INDEPENDENT,None (Single Task),0,Medium,Yes,Block suspended - VIP movement,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000009_TASK54507,AST_GZB-_4507,BLK_GZB-CNB_0105_32,GZB-CNB,GZB-CNB,GZB-CNB,2026-01-05,2026-01-05 23:00,2026-01-05 02:00,Interlocking Testing Block,SMT,Signal Testing Gang,P1,174,174,8,True,False,INDEPENDENT,None (Single Task),0,High,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000012_TASK82977,AST_CSMT_2977,BLK_CSMT-BSR_0104_122,CSMT-BSR,CSMT-BSR,CSMT-BSR,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Power Block,TRD,OHE Wiring Depot,P1,240,240,8,True,False,INDEPENDENT,None (Single Task),0,High,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000014_TASK29130,AST_BRC-_9130,BLK_BRC-ST_0101_147,BRC-ST,BRC-ST,BRC-ST,2026-01-01,2026-01-01 23:00,2026-01-01 02:00,Interlocking Testing Block,SMT,Signal Testing Gang,P1,73,73,8,True,False,INDEPENDENT,None (Single Task),0,High,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000018_TASK26527,AST_ALD-_6527,BLK_ALD-MGS_0105_46,ALD-MGS,ALD-MGS,ALD-MGS,2026-01-05,2026-01-05 23:00,2026-01-05 02:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,83,83,8,True,False,INDEPENDENT,BR000029_TASK59497 (ENGINEERING),0,High,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000029_TASK59497,AST_ALD-_9497,BLK_ALD-MGS_0105_46,ALD-MGS,ALD-MGS,ALD-MGS,2026-01-05,2026-01-05 23:00,2026-01-05 02:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,63,63,8,True,False,INDEPENDENT,BR000018_TASK26527 (ENGINEERING),0,High,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000025_TASK61583,AST_SBC-_1583,BLK_SBC-MAS_0103_198,SBC-MAS,SBC-MAS,SBC-MAS,2026-01-03,2026-01-03 23:00,2026-01-03 04:00,OHE Maintenance Block,TRD,OHE Wiring Depot,P2,216,216,2,False,False,INDEPENDENT,BR000093_TASK66444 (TRD),0,Medium,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000093_TASK66444,AST_SBC-_6444,BLK_SBC-MAS_0103_198,SBC-MAS,SBC-MAS,SBC-MAS,2026-01-03,2026-01-03 23:00,2026-01-03 04:00,Power Block,TRD,OHE Wiring Depot,P1,80,80,8,True,False,INDEPENDENT,BR000025_TASK61583 (TRD),0,Medium,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000027_TASK52334,AST_BPL-_2334,BLK_BPL-JHS_0106_138,BPL-JHS,BPL-JHS,BPL-JHS,2026-01-06,2026-01-06 23:00,2026-01-06 03:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,240,240,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000028_TASK44471,AST_UBL-_4471,BLK_UBL-PUNE_0106_110,UBL-PUNE,UBL-PUNE,UBL-PUNE,2026-01-06,2026-01-06 23:00,2026-01-06 03:00,Signal Maintenance Block,SMT,Signal Testing Gang,P2,203,203,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000030_TASK63100,AST_BRC-_3100,BLK_BRC-ST_0104_150,BRC-ST,BRC-ST,BRC-ST,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Interlocking Testing Block,SMT,Signal Testing Gang,P1,209,209,8,True,False,INDEPENDENT,None (Single Task),0,High,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000031_TASK85127,AST_NGP-_5127,BLK_NGP-BSP_0101_217,NGP-BSP,NGP-BSP,NGP-BSP,2026-01-01,2026-01-01 23:00,2026-01-01 03:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,209,209,8,True,False,INDEPENDENT,None (Single Task),0,Medium,Yes,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000032_TASK74491,AST_NDLS_4491,BLK_NDLS-UMB_0106_12,NDLS-UMB,NDLS-UMB,NDLS-UMB,2026-01-06,2026-01-06 23:00,2026-01-06 03:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,117,117,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000033_TASK95027,AST_SBC-_5027,BLK_SBC-UBL_0101_98,SBC-UBL,SBC-UBL,SBC-UBL,2026-01-01,2026-01-01 23:00,2026-01-01 03:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,35,35,8,True,False,INDEPENDENT,None (Single Task),0,Medium,No,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000034_TASK10850,AST_BZA-_0850,BLK_BZA-SC_0103_205,BZA-SC,BZA-SC,BZA-SC,2026-01-03,2026-01-03 23:00,2026-01-03 04:00,Power Block,TRD,OHE Wiring Depot,P1,110,110,8,True,True,JOINT_POSSESSION,BR000081_TASK36670 (SMT),180,Medium,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000081_TASK36670,AST_BZA-_6670,BLK_BZA-SC_0103_205,BZA-SC,BZA-SC,BZA-SC,2026-01-03,2026-01-03 23:00,2026-01-03 04:00,Signal Maintenance Block,SMT,Signal Testing Gang,P2,132,132,2,False,True,JOINT_POSSESSION,BR000034_TASK10850 (TRD),180,Medium,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000035_TASK62683,AST_ST-B_2683,BLK_ST-BCT_0103_156,ST-BCT,ST-BCT,ST-BCT,2026-01-03,2026-01-03 23:00,2026-01-03 03:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,42,42,2,False,False,INDEPENDENT,BR000060_TASK80054 (ENGINEERING),0,High,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000060_TASK80054,AST_ST-B_0054,BLK_ST-BCT_0103_156,ST-BCT,ST-BCT,ST-BCT,2026-01-03,2026-01-03 23:00,2026-01-03 03:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,97,97,2,False,False,INDEPENDENT,BR000035_TASK62683 (ENGINEERING),0,High,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000036_TASK77723,AST_ST-B_7723,BLK_ST-BCT_0104_157,ST-BCT,ST-BCT,ST-BCT,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,39,39,8,True,False,INDEPENDENT,BR000042_TASK65515 (ENGINEERING),0,High,Yes,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000042_TASK65515,AST_ST-B_5515,BLK_ST-BCT_0104_157,ST-BCT,ST-BCT,ST-BCT,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,159,159,8,True,False,INDEPENDENT,BR000036_TASK77723 (ENGINEERING),0,High,Yes,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000037_TASK80705,AST_BSP-_0705,BLK_BSP-R_0101_224,BSP-R,BSP-R,BSP-R,2026-01-01,2026-01-01 23:00,2026-01-01 04:00,Signal Maintenance Block,SMT,Signal Testing Gang,P2,118,118,2,False,False,INDEPENDENT,None (Single Task),0,Low,No,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000039_TASK34232,AST_NDLS_4232,BLK_NDLS-JHS_0101_21,NDLS-JHS,NDLS-JHS,NDLS-JHS,2026-01-01,2026-01-01 23:00,2026-01-01 03:00,OHE Maintenance Block,TRD,OHE Wiring Depot,P2,218,218,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000040_TASK31697,AST_ALD-_1697,BLK_ALD-MGS_0107_48,ALD-MGS,ALD-MGS,ALD-MGS,2026-01-07,2026-01-07 23:00,2026-01-07 02:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,178,178,8,True,False,INDEPENDENT,None (Single Task),0,High,Yes,Single line working only,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000041_TASK19073,AST_BPL-_9073,BLK_BPL-JHS_0107_139,BPL-JHS,BPL-JHS,BPL-JHS,2026-01-07,2026-01-07 23:00,2026-01-07 03:00,OHE Maintenance Block,TRD,OHE Wiring Depot,P2,240,240,2,False,False,INDEPENDENT,None (Single Task),0,Medium,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000043_TASK21828,AST_NDLS_1828,BLK_NDLS-ASR_0107_20,NDLS-ASR,NDLS-ASR,NDLS-ASR,2026-01-07,2026-01-07 23:00,2026-01-07 03:00,Traction Feed Block,TRD,OHE Wiring Depot,P2,128,128,2,False,True,JOINT_POSSESSION,BR000064_TASK63111 (ENGINEERING),180,Medium,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000064_TASK63111,AST_NDLS_3111,BLK_NDLS-ASR_0107_20,NDLS-ASR,NDLS-ASR,NDLS-ASR,2026-01-07,2026-01-07 23:00,2026-01-07 03:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,68,68,8,True,True,JOINT_POSSESSION,BR000043_TASK21828 (TRD),180,Medium,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000044_TASK35438,AST_VSKP_5438,BLK_VSKP-BZA_0101_70,VSKP-BZA,VSKP-BZA,VSKP-BZA,2026-01-01,2026-01-01 23:00,2026-01-01 03:00,Signal Maintenance Block,SMT,Signal Testing Gang,P2,224,224,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000045_TASK35223,AST_UBL-_5223,BLK_UBL-PUNE_0104_108,UBL-PUNE,UBL-PUNE,UBL-PUNE,2026-01-04,2026-01-04 23:00,2026-01-04 04:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,129,129,8,True,False,INDEPENDENT,BR000055_TASK44817 (ENGINEERING),0,Medium,No,Reduced window due to festival traffic,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000055_TASK44817,AST_UBL-_4817,BLK_UBL-PUNE_0104_108,UBL-PUNE,UBL-PUNE,UBL-PUNE,2026-01-04,2026-01-04 23:00,2026-01-04 04:00,Traffic Block,ENGINEERING,Mechanized Tamping Crew,P2,73,73,2,False,False,INDEPENDENT,BR000045_TASK35223 (ENGINEERING),0,Medium,No,Reduced window due to festival traffic,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000046_TASK82571,AST_SC-N_2571,BLK_SC-NGP_0103_212,SC-NGP,SC-NGP,SC-NGP,2026-01-03,2026-01-03 23:00,2026-01-03 04:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,240,240,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,Reduced window due to festival traffic,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000047_TASK52075,AST_NDLS_2075,BLK_NDLS-GZB_0101_0,NDLS-GZB,NDLS-GZB,NDLS-GZB,2026-01-01,2026-01-01 23:00,2026-01-01 02:00,Traffic Block,ENGINEERING,Mechanized Tamping Crew,P2,136,136,2,False,False,INDEPENDENT,None (Single Task),0,High,No,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000048_TASK44934,AST_JP-A_4934,BLK_JP-ADI_0101_175,JP-ADI,JP-ADI,JP-ADI,2026-01-01,2026-01-01 23:00,2026-01-01 04:00,Interlocking Testing Block,SMT,Signal Testing Gang,P1,79,79,8,True,False,INDEPENDENT,None (Single Task),0,Low,No,Reduced window due to festival traffic,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000049_TASK10290,AST_DLI-_0290,BLK_DLI-JU_0106_166,DLI-JU,DLI-JU,DLI-JU,2026-01-06,2026-01-06 23:00,2026-01-06 04:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,179,179,8,True,False,INDEPENDENT,None (Single Task),0,Low,No,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000050_TASK36168,AST_BZA-_6168,BLK_BZA-MAS_0104_80,BZA-MAS,BZA-MAS,BZA-MAS,2026-01-04,2026-01-04 23:00,2026-01-04 03:00,Non-Interlocking Block,ENGINEERING,Mechanized Tamping Crew,P1,233,233,8,True,False,INDEPENDENT,None (Single Task),0,High,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000051_TASK25103,AST_SBC-_5103,BLK_SBC-MAS_0104_199,SBC-MAS,SBC-MAS,SBC-MAS,2026-01-04,2026-01-04 23:00,2026-01-04 04:00,Traction Feed Block,TRD,OHE Wiring Depot,P2,225,225,2,False,True,JOINT_POSSESSION,BR000062_TASK91852 (ENGINEERING),180,Medium,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000062_TASK91852,AST_SBC-_1852,BLK_SBC-MAS_0104_199,SBC-MAS,SBC-MAS,SBC-MAS,2026-01-04,2026-01-04 23:00,2026-01-04 04:00,Bridge Inspection Block,ENGINEERING,Mechanized Tamping Crew,P2,40,40,2,False,True,JOINT_POSSESSION,BR000051_TASK25103 (TRD),180,Medium,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000052_TASK52730,AST_NGP-_2730,BLK_NGP-BSP_0106_222,NGP-BSP,NGP-BSP,NGP-BSP,2026-01-06,2026-01-06 23:00,2026-01-06 03:00,OHE Maintenance Block,TRD,OHE Wiring Depot,P2,240,240,2,False,False,INDEPENDENT,None (Single Task),0,Medium,No,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000054_TASK48372,AST_SC-N_8372,BLK_SC-NGP_0105_214,SC-NGP,SC-NGP,SC-NGP,2026-01-05,2026-01-05 23:00,2026-01-05 03:00,Track Renewal Block,ENGINEERING,Mechanized Tamping Crew,P1,240,240,8,True,False,INDEPENDENT,None (Single Task),0,Medium,No,No restriction,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000059_TASK99844,AST_SC-N_9844,BLK_SC-NGP_0104_213,SC-NGP,SC-NGP,SC-NGP,2026-01-04,2026-01-04 23:00,2026-01-04 04:00,Interlocking Testing Block,SMT,Signal Testing Gang,P1,42,42,8,True,False,INDEPENDENT,BR000100_TASK33202 (SMT),0,Medium,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000100_TASK33202,AST_SC-N_3202,BLK_SC-NGP_0104_213,SC-NGP,SC-NGP,SC-NGP,2026-01-04,2026-01-04 23:00,2026-01-04 04:00,Cable Block,SMT,Signal Testing Gang,P2,240,240,2,False,False,INDEPENDENT,BR000059_TASK99844 (SMT),0,Medium,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000061_TASK13207,AST_CSMT_3207,BLK_CSMT-BSR_0101_119,CSMT-BSR,CSMT-BSR,CSMT-BSR,2026-01-01,2026-01-01 23:00,2026-01-01 02:00,Traffic Block,ENGINEERING,Mechanized Tamping Crew,P2,118,118,2,False,False,INDEPENDENT,None (Single Task),0,High,No,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000063_TASK52516,AST_HWH-_2516,BLK_HWH-NJP_0103_184,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-03,2026-01-03 23:00,2026-01-03 05:00,Interlocking Testing Block,SMT,Signal Testing Gang,P1,121,121,8,True,True,JOINT_POSSESSION,BR000069_TASK76416 (TRD),180,Low,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000069_TASK76416,AST_HWH-_6416,BLK_HWH-NJP_0103_184,HWH-NJP,HWH-NJP,HWH-NJP,2026-01-03,2026-01-03 23:00,2026-01-03 05:00,Power Block,TRD,OHE Wiring Depot,P1,123,123,8,True,True,JOINT_POSSESSION,BR000063_TASK52516 (SMT),180,Low,Yes,"No block during peak hours 06:00-10:00,17:00-21:00",OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
BR000065_TASK20755,AST_ST-B_0755,BLK_ST-BCT_0107_160,ST-BCT,ST-BCT,ST-BCT,2026-01-07,2026-01-07 23:00,2026-01-07 02:00,Cable Block,SMT,Signal Testing Gang,P2,166,166,2,False,False,INDEPENDENT,None (Single Task),0,High,Yes,Max 1 block per night,OPTIMAL,PENDING_APPROVAL,Chief Controller,Google OR-Tools CP-SAT
